code,Plan_ClusterName
2255673,NULL
2195175,CBN07PrdApp02-01
2301068,MRS20PrdStr04
2268016,AMS06PrdStr05
2207876,NULL
743161,DB3PrdApp02
743028,HKNPrdApp02
2337738,NULL
2338602,NULL
2338636,NULL
2338851,NULL
2337829,NULL
2337406,NULL
2338261,NULL
2337592,NULL
2337945,NULL
2337792,NULL
2338278,NULL
2338488,NULL
2337321,NULL
2338132,NULL
2336043,NULL
2336042,NULL
2336045,NULL
2336044,NULL
2336047,NULL
2336046,NULL
2336049,NULL
2336048,NULL
2300431,NULL
2300098,NULL
2260143,LN1PrdApp14-01
2205363,OSA20PrdApp04-01
2206020,SYD23PrdApp03-01
2195295,LN1PrdApp07-01
2195152,CW1PrdApp06-01
2208572,OSA20PrdApp02-01
2207252,MRS20PrdApp03-01
2205136,DB3PrdApp18-01
2305846,DB3PrdApp19-01
2195462,BYAPrdApp23-02
2194299,SN4PrdApp19-03
2208570,BYAPrdApp23-01
2195464,SE1PrdApp01-02
2147291,SN4PrdApp19-02
2206549,MWH01PrdApp17
2194003,BZ6PrdApp11
2153932,SY3PrdApp16-02
2151207,MWH01PrdApp12-02
2194517,MWH01PrdApp10-04
2194460,MWH01PrdApp10-01
2153396,BM1PrdApp06-02
2147225,TY1PrdApp16-01
2194749,TY1PrdApp16-02
2195648,MA1PrdApp06-03
2195012,CQ2PrdApp10
2194154,CQ2PrdApp09
2195146,YT1PrdApp16-01
2301159,AM3PrdApp12-02
2300783,NULL
2195465,BYAPrdApp21
2263474,HKNPrdApp08-02
2300832,NULL
2303848,NULL
2263758,DM5PrdStr14
2267509,OSA20PrdStr06
2266549,PS1PrdStr03
2266300,SIN20PrdStr02
2266707,CW1PrdStr04
2196178,BZ6PrdStr12
2292026,CHI21PrdStr02
2337536,NULL
2300710,NULL
709005,AM3PrdApp11
709008,AM3PrdApp12
679836,AM3PrdStr01
697485,BN1PrdApp03
697486,BN1PrdApp04
697484,BN1PrdApp02
709332,BL2PrdXts01
709266,BL3PrdApp01
709272,CH1PrdApp06
709201,SN3PrdApp02
709273,CH3PrdApp05
742974,BY2PrdApp04
709003,DB4PrdApp12
709310,BY3PrdApp06
709303,BY1PrdApp12
709267,BY2PrdApp07
709294,CH1PrdApp03
709309,CH3PrdApp07
709248,BY2PrdApp05
709198,BY1PrdAPP14
743283,BY1PrdApp10
742976,BY2PrdApp06
709207,BY3PrdApp02
709278,CH3PrdApp06
679828,DB4PrdDDC01
679826,AM3PrdDDC01
679790,BY2PrdDDC01
679791,BY1PrdDDC04
709349,CH3PrdDDC01
766646,BY3PrdDDC04
709360,BY1PrdDDC03
716454,BY2PrdStr01
709217,BY1PrdApp13
709212,BY1PrdApp11
709283,SN1PrdApp01Agg02
709237,BL2PrdApp20
709211,BL2PrdApp14
709202,SN3PrdApp01
709205,BL2PrdApp18
709194,BL2PrdApp13
709203,SN2PrdApp06
709204,CH3PrdApp04
709236,BL2PrdApp19
709235,BL2PrdApp17
709223,SN3PrdApp10
709210,SN3PrdApp11
709243,BL2PrdApp16
709229,BL2PrdApp15
709208,SN3PrdApp06
709206,BY3PrdApp01
709297,CH1PrdApp05
708890,SG1PrdApp08
708996,AM3PrdApp06
709019,DB4PrdApp05
708995,AM3PrdApp05
709007,DB4PrdApp11
708903,SG1PrdDDC03
709106,AM3PrdDDC03
709105,AM3PrdDDC02
708902,SG1PrdDDC02
716476,BL3PrdStr02
716464,DM1PrdStr06
716461,BY2PrdStr02
716477,CH3PrdStr03
716467,DM1PrdStr09
716481,CH3PrdStr01
716482,DM1PrdStr10
716475,BL3PrdStr01
716453,BL2PrdStr03
716460,BL2PrdStr04
716483,SN3PrdStr02
716469,BN1PrdStr09
716485,BN1PrdStr10
716478,SN3PrdStr01
716472,SN3PrdStr03
716474,BY3PrdStr01
716479,BY3PrdStr02
716471,BN1PrdStr08
716470,DM1PrdStr08
716466,BN1PrdStr07
708862,SG1PrdApp09
708897,SG1PrdXts01
708896,HKNPrdXts01
709145,DB4PrdStr05
709188,CQ1PrdDDC01
708866,SG3PrdApp01
709181,OS1PrdDDC01
709180,KW1PrdDDC01
709176,OS1PrdApp01
709173,KW1PrdApp01
709190,CQ1PrdStr01
774286,BY2PrdApp08
860298,BL3PrdApp09
774285,BY3PrdApp04
860297,BL2PrdApp22
774061,BL3PrdApp06
774062,BY3PrdApp09
709183,OS1PrdStr01
709182,KW1PrdStr01
775834,BY3PrdStr03
775833,BL3PrdStr03
860335,SH2PrdStr01
845761,BL2PrdApp21
709230,BY3PrdApp03
709358,SN3PrdDDC03
766659,SN3PrdDDC02
709100,DB4PrdDDC03
709185,CQ1PrdApp01
860286,AM3PrdApp14
860268,BJBPrdApp03
708868,SG3PrdApp02
708959,SG3PrdStr01
708958,HKNPrdStr12
845668,BY1PrdDDC02
743765,SN2PrdApp08
721774,BL2PrdApp02
697488,BY1PrdApp01
697489,BY1PrdApp02
743997,BL2PrdApp01
697494,AM2PrdStr01
697487,BN1PrdDDC01
2263756,BZ7PrdStr03
2208571,DUB07PrdApp01-01
2322238,NULL
2322200,NULL
2195459,YQ1PrdApp06-02
2194729,BLUPrdApp05-02
2194137,YQ1PrdApp06-01
2296059,MEL20PrdStr01
2205497,CHI21PrdApp01-01
709096,AM2PrdXts01
2206567,CBZ07PrdApp01-01
2195176,BZ7PrdApp04-01
2317998,NULL
2150495,DZ5PrdApp09-04
2330121,NULL
2329939,NULL
2338434,NULL
845613,DB3PrdApp10
743166,DB3PrdApp07
743163,DB3PrdApp04
743618,HKNPrdApp03
743165,DB3PrdApp06
708976,BJBPrdApp01
845614,SG1PrdApp06
708977,SHAPrdApp01
743164,DB3PrdApp05
845619,BY1PrdApp03
743010,CH1PrdApp13
845620,BY1PrdApp04
743167,BN1PrdApp01
709014,AM3PrdApp13
925835,OS1PrdApp02
709095,DB3PrdXts01
709012,DB4PrdApp14
925834,TY1PrdApp01
709013,DB4PrdApp10
708863,HKNPrdApp08
708864,HK2PrdApp01
708865,HK2PrdApp02
860277,SH2PrdApp01
987399,SY3PrdApp01
709001,DB4PrdApp09
709011,AM3PrdApp08
709308,BL3PrdApp07
709293,BL3PrdApp03
2121261,SN1PrdApp04
709307,BL3PrdApp04
743008,CH1PrdApp11
743009,CH1PrdApp12
743006,CH1PrdApp09
743007,CH1PrdApp10
925919,CH1PrdApp02
2121260,SN1PrdApp01Agg02
709334,SN1PrdXts01
709335,BY1PrdXTS01
709222,CH3PrdApp09
2002818,CH1PrdDDC01
845667,BL2PrdDDC02
709355,SN3PrdDDC01
709320,BY3PrdDDC06
709099,DB4PrdDDC02
708899,HK2PrdDDC01
709110,AM3PrdDDC04
709323,CH1PrdDDC04
708988,SHAPrdDDC01
708984,BJBPrdDDC01
766638,SG1PrdDDC04
766666,SG3PrdDDC01
2110817,DPD
2110818,DPE
938945,CH3PrdDDC03
926033,BL3PrdDDC01
766725,BY3PrdDDC02
766686,CH3PrdDDC02
743000,CH1PrdApp03
742999,CH1PrdApp02
743162,DB3PrdApp03
742997,SN2PrdApp07
742998,CH1PrdApp01
742956,SN1PrdApp01
743003,CH1PrdApp06
743004,CH1PrdApp07
743002,CH1PrdApp05
743025,SG1PrdApp02
743027,HKNPrdApp01
845665,DB3PrdDDC01
845666,DB3PrdDDC02
2341237,NULL
775837,BL3PrdStr04
845638,HKNPrdStr02
860332,BJBPrdStr02
2000705,CH3PrdStr04
987408,SY3PrdStr01
845630,DB3PrdStr02
845644,SG1PrdStr03
2300782,NULL
2303042,NULL
2303043,NULL
2194129,BY1PrdApp05
2300111,BY3PrdApp03-02
2194252,AM3PrdApp07-02
2194494,SG2PrdApp38-01
2194171,BY3PrdApp01-02
2195394,BL2PrdApp22-02
2194473,AM3PrdApp06-02
2301319,AM3PrdApp13-02
2263935,NULL
2321709,NULL
2321269,NULL
2321812,NULL
2208376,TYO22PrdStr01
845664,CH1PrdStr05
2000800,SN3PrdStr05
845651,SN1PrdStr04
987407,ML1PrdStr01
845625,BY1PrdStr02
2000218,DB4PrdStr09
2208502,DZ5PrdStr13
2303047,NULL
2303046,NULL
2321567,NULL
2292316,LN1PrdStp04
2207739,BLAPrdStp02
2321154,NULL
2256760,BYCPrdStp02
2194489,BYAPrdStp03
2194431,TY1PrdStp05
2193981,BM1PrdStp01
2206400,MWH02PrdStp01
2207376,DUB20PrdStp01
2291580,BL7PrdStp01
2205496,OS1PrdStp01
2194381,BZ6PrdStp08
2206585,DB3PrdStp01
2291849,CHI21PrdStp01
2193987,SG2PrdStp05
2195645,SY3PrdApp16-03
2194413,BYAPrdStp07
2337801,NULL
2147214,SN4PrdApp20
2194032,BLAPrdApp10
2255842,LN1PrdApp11
2195646,LN1PrdApp12
2193884,MA1PrdApp07
2195173,MWH01PrdApp22-01
2206615,AMS20PrdApp10-01
2206342,BZ6PrdApp19-01
2329529,NULL
2300171,CW1PrdStp03
2256674,NULL
2257086,PAR21PrdStp02
2292238,PN1PrdStp02
2321629,NULL
2322079,NULL
2322229,NULL
2322296,CHI21PrdStp02
2208518,BZ6PrdStr15
775838,BY3PrdStr04
2338331,NULL
2337502,NULL
2337969,NULL
2338110,NULL
2337965,NULL
2338295,NULL
2338752,NULL
2337734,NULL
2338052,NULL
2338193,NULL
2338716,NULL
2337823,NULL
2338464,NULL
2338230,NULL
2338415,NULL
2337357,NULL
2338475,NULL
2338542,NULL
2337503,NULL
2338058,NULL
